序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3305,600519,贵州茅台,1547.0,0.19,3.0,25754.0,4005439429.0,1.32,1566.66,1546.3,1549.99,1544.0,1.57,0.21,18.1,7.52,1943337996600.0,1943337996600.0,-0.02,-0.02,7.81,1.51
4046,601318,中国平安,50.71,-0.57,-0.29,377944.0,1927976843.0,1.71,51.55,50.68,51.1,51.0,0.97,0.35,8.55,0.98,923440996921.0,545774371713.0,-0.02,-0.02,-0.28,-3.68
4121,000858,五 粮 液,128.7,-0.66,-0.85,146627.0,1893634510.76,1.26,130.3,128.67,129.61,129.55,1.14,0.38,8.4,3.37,499562950244.0,499543832245.0,-0.08,-0.02,1.18,-6.37
